species,long,lat,area,habitat
bengalensis,73.35970343,16.54156873,Shirse,mangrove
undulata,73.33136246,16.55624167,Vijaydurg,rocky
undulata,73.33165381,16.55633152,Vijaydurg,rocky
undulata,73.3368749,16.63850812,Ambolgad,rocky
vidua,73.3368749,16.63850812,Ambolgad,rocky
leucosticta,73.3368749,16.63850812,Ambolgad,rocky
malaccana,73.3368749,16.63850812,Ambolgad,rocky
strigata,73.3368749,16.63850812,Ambolgad,rocky
undulata,73.33439796,16.64028777,Ambolgad,rocky
undulata,73.31485296,16.80689729,Purnagad,mixed
strigata,73.31485296,16.80689729,Purnagad,mixed
bengalensis,73.32111541,16.80696401,Purnagad,mixed
carinifera,73.32111541,16.80696401,Purnagad,mixed
undulata,73.31573088,16.80702469,Purnagad,mixed
strigata,73.31573088,16.80702469,Purnagad,mixed
bengalensis,73.29868829,16.86086141,Ganeshgule_mangrove,mangrove
undulata,73.2908378,16.87089404,Ganeshgule_rocky,rocky
undulata,73.29157373,16.8712615,Ganeshgule_rocky,rocky
bengalensis,73.31204921,16.89329644,Ranpur,mangrove
bengalensis,73.31200093,16.89341588,Ranpur,mangrove
carinifera,73.05081706,17.90675864,Kelshi,mixed
carinifera,73.05076366,17.90689853,Kelshi,mixed
strigata,73.05076366,17.90689853,Kelshi,mixed
strigata,73.0510582,17.90701127,Kelshi,mixed
undulata,73.0517632,17.90706684,Kelshi,mixed
malaccana,73.0517632,17.90706684,Kelshi,mixed
strigata,73.0517632,17.90706684,Kelshi,mixed
bengalensis,73.05194115,17.90710757,Kelshi,mixed
undulata,73.05194115,17.90710757,Kelshi,mixed
strigata,73.05194115,17.90710757,Kelshi,mixed
malaccana,73.01897404,17.99265135,Harihareshwar,rocky
vidua,73.01897404,17.99265135,Harihareshwar,rocky
strigata,73.01897404,17.99265135,Harihareshwar,rocky
carinifera,72.99491093,18.18495903,Divegar,mangrove
malaccana,72.96867449,18.20538145,Velas,mixed
strigata,72.96794484,18.20565127,Velas,mixed
malaccana,72.95109177,18.33585156,Murud,rocky
strigata,72.95109177,18.33585156,Murud,rocky
strigata,72.93183854,18.54341464,Revdanda,mangrove
strigata,72.93250255,18.54380155,Revdanda,mangrove
strigata,72.93254622,18.54382167,Revdanda,mangrove
strigata,72.86448106,18.65467284,Varsoi/Alibag,rocky
vidua,72.86438207,18.65544615,Varsoi/Alibag,rocky
malaccana,72.86438207,18.65544615,Varsoi/Alibag,rocky
strigata,72.86438207,18.65544615,Varsoi/Alibag,rocky
carinifera,72.73396058,19.62764039,Dadarpada,mangrove
carinifera,72.73421128,19.62765858,Dadarpada,mangrove
carinifera,72.7336279,19.62768615,Dadarpada,mangrove
carinifera,72.65343346,19.84853111,Ghivali,mixed
malaccana,72.65343346,19.84853111,Ghivali,mixed
vidua,72.65343346,19.84853111,Ghivali,mixed
strigata,72.65343346,19.84853111,Ghivali,mixed
strigata,72.65377569,19.84960106,Ghivali,mixed
malaccana,72.71087665,20.02535943,Narpad,mixed
strigata,72.71118779,20.02569269,Narpad,mixed
carinifera,72.71262864,20.02646064,Narpad,mixed
malaccana,72.71262864,20.02646064,Narpad,mixed
strigata,72.71262864,20.02646064,Narpad,mixed
carinifera,72.71290071,20.02662158,Narpad,mixed
malaccana,70.958009,20.705862,"Gangeshwar, Diu",rocky
omanensis,70.958009,20.705862,"Gangeshwar, Diu",rocky
omanensis,70.895754,20.706291,"Vanakbara, Diu",rocky
undulata,70.895754,20.706291,"Vanakbara, Diu",rocky
