species,habitat,long,lat,air_temp_dryQ_C,max_air_temp_C,mean_annual_sst_C,pp_mean,sss_saltiest_month_psu,sst_warmest_month_C,tidal_range_minmax_fill_m,topo_bath,topo_bath_slope
strigata,mixed,69.07405838,22.47831811,27.39444404,34.53333282,26.21,0.008117875,36.6,28.71,4.000853494,0.664738323,0.311092726
strigata,mixed,81.18705377,16.14246902,26.36666679,35.59999847,27.86444444,0.03750825,33.94888889,29.63,1.479760709,5.21053946,0.010358455
strigata,mixed,69.46918733,22.77442452,24.99999979,37.09999847,26.34,0.01086515,36.59,29.54,3.807570777,-2.251881243,0.230616875
strigata,mixed,69.34826422,22.81956098,24.93333364,37.14999962,26.46,0.00947075,36.59,29.91,3.741335695,1.160217161,0.341724362
strigata,mixed,68.636373,23.22387566,27.46666718,35.70000076,24.95,0.015997748,36.6,28.36,3.743023048,2.19063567,0.347415773
strigata,mixed,68.60584687,23.23832472,27.41666683,35.25,25.05,0.0166607,36.6,28.37,3.682528108,-3.732161143,0.269374098
strigata,mixed,79.85224877,10.67769094,28.21666654,36.59999847,28.175,0.022863888,33.9225,29.4575,1.032588767,1.356678417,0.207604635
strigata,mixed,79.37902017,10.31217417,26.83333333,35.29999924,28.77,0.01433385,34.74,30.68,0.347279013,-1.642879784,0.169153768
strigata,mixed,79.26630286,10.03865775,27.08333365,35.09999847,28.64166667,0.01381796,35.03333333,30.715,0.277076754,0.111051846,0.683331577
undulata,rocky,75.73609988,11.33122031,27.63333321,32.09999847,28.0025,0.021433988,35.3425,30.255,1.503388186,8.804569953,0.55807979
undulata,rocky,75.45354475,11.77120392,27.46666654,31.5,27.92,0.0212105,35.22,29.79,1.563590346,3.698029354,0.566018308
undulata,rocky,75.4032069,11.83850935,27.66666654,32.24000015,27.76,0.0206198,35.19,29.7,1.567497563,5.331113143,1.044501087
undulata,rocky,75.319508,11.911221,27.53333378,32,27.175,0.020498383,35.15,29.2725,1.578031191,11.46518328,0.753485686
undulata,rocky,75.21363867,12.01037851,27.50000032,31.89999962,27.765,0.019420855,35.1,30.185,1.600921758,19.05648325,2.692479567
undulata,rocky,75.21868357,12.0120155,27.39444447,31.83333333,27.7075,0.019556765,35.1025,30.3575,1.59894685,12.19673512,2.055965403
undulata,rocky,74.79056178,13.00070071,27.17222246,32.20000076,28.08,0.01527106,34.91,30,1.854344419,0.977449595,0.654246116
undulata,rocky,74.65198813,13.66505882,26.85416667,31.82499933,27.87,0.016474508,34.91,29.73,2.076806104,3.682249028,0.618876632
undulata,rocky,83.26355084,17.65129851,24.46666686,34.70000076,27.47,0.014142398,33.99,28.81,1.767414154,22.85242921,4.704436514
undulata,rocky,74.46003584,14.20071306,26.54999987,32,27.96,0.020741615,35.04,29.6,2.238029226,40.26379101,2.26767963
undulata,rocky,74.321961,14.51857695,26.46666686,31.60000038,28.02,0.0311704,35.27,29.8425,2.288472376,18.97560726,1.815670061
undulata,rocky,74.2815355,14.65415256,26.58749986,32.15000057,27.805,0.034618125,35.3525,29.9225,2.301614379,3.411877524,0.329705597
undulata,rocky,74.26282014,14.70495352,26.53888904,31.83333333,27.97,0.032066325,35.378,29.63,2.304479384,2.04307316,0.276080592
undulata,rocky,73.94015702,15.11867797,26.44583329,31.80000019,27.44,0.028347638,35.68,29.42,2.356894392,7.534401637,1.3890237
undulata,rocky,73.73285738,15.59983157,26.40000015,32.20000076,27.78,0.026517425,35.93,29.58,2.407270202,-2.668538056,0.92238226
undulata,rocky,73.73280264,15.6049483,26.40833346,32.20000076,27.79,0.026438375,35.94,29.61,2.414283022,-2.526120481,0.698094019
undulata,rocky,73.69986042,15.69250977,26.22916667,32.35000038,27.64,0.025991783,35.96,29.41,2.42581209,5.272072876,1.850120711
undulata,rocky,73.5906967,15.90440109,26.10833319,32.22499943,27.85,0.025718905,36.02,29.31,2.439713259,1.22313147,1.299013235
undulata,rocky,83.26064886,17.64900933,24.18333318,34.46666718,27.47,0.014147013,33.99,28.81,1.767331057,14.63074836,2.732891556
undulata,rocky,73.45640796,16.06100941,26.1833334,32.40000153,27.79,0.020031413,36.07,29.35,2.480999576,-0.565078257,0.389771631
